"","Series","Date","Value"
"31169","Clients' liabilities per contra (total of items 280 to 283)",2020-05-01,0
"31170","Clients' liabilities per contra (total of items 280 to 283)",2020-06-01,0
"31171","Clients' liabilities per contra (total of items 280 to 283)",2020-07-01,0
"31172","Clients' liabilities per contra (total of items 280 to 283)",2020-08-01,0
"31173","Clients' liabilities per contra (total of items 280 to 283)",2020-09-01,0
"31174","Clients' liabilities per contra (total of items 280 to 283)",2020-10-01,0
"31175","Clients' liabilities per contra (total of items 280 to 283)",2020-11-01,0
"31176","Clients' liabilities per contra (total of items 280 to 283)",2020-12-01,0
"31177","Clients' liabilities per contra (total of items 280 to 283)",2021-01-01,0
"31178","Clients' liabilities per contra (total of items 280 to 283)",2021-02-01,0
"31179","Clients' liabilities per contra (total of items 280 to 283)",2021-03-01,0
"31180","Clients' liabilities per contra (total of items 280 to 283)",2021-04-01,0
"31181","Clients' liabilities per contra (total of items 280 to 283)",2021-05-01,0
"31182","Clients' liabilities per contra (total of items 280 to 283)",2021-06-01,0
"31183","Clients' liabilities per contra (total of items 280 to 283)",2021-07-01,0
"31184","Clients' liabilities per contra (total of items 280 to 283)",2021-08-01,0
"31185","Clients' liabilities per contra (total of items 280 to 283)",2021-09-01,0
"31186","Clients' liabilities per contra (total of items 280 to 283)",2021-10-01,0
"31187","Clients' liabilities per contra (total of items 280 to 283)",2021-11-01,0
"31188","Clients' liabilities per contra (total of items 280 to 283)",2021-12-01,0
"31189","Clients' liabilities per contra (total of items 280 to 283)",2022-01-01,0
"31190","Clients' liabilities per contra (total of items 280 to 283)",2022-02-01,0
"31191","Clients' liabilities per contra (total of items 280 to 283)",2022-03-01,0
"31192","Clients' liabilities per contra (total of items 280 to 283)",2022-04-01,0
"31193","Clients' liabilities per contra (total of items 280 to 283)",2022-05-01,0
"31194","Clients' liabilities per contra (total of items 280 to 283)",2022-06-01,0
"31195","Clients' liabilities per contra (total of items 280 to 283)",2022-07-01,0
"31196","Clients' liabilities per contra (total of items 280 to 283)",2022-08-01,0
"31197","Clients' liabilities per contra (total of items 280 to 283)",2022-09-01,0
"31198","Clients' liabilities per contra (total of items 280 to 283)",2022-10-01,0
"31199","Clients' liabilities per contra (total of items 280 to 283)",2022-11-01,0
"31200","Clients' liabilities per contra (total of items 280 to 283)",2022-12-01,0
"31201","Clients' liabilities per contra (total of items 280 to 283)",2023-01-01,0
"31202","Clients' liabilities per contra (total of items 280 to 283)",2023-02-01,0
"31203","Clients' liabilities per contra (total of items 280 to 283)",2023-03-01,0
"31204","Clients' liabilities per contra (total of items 280 to 283)",2023-04-01,0
"31205","Clients' liabilities per contra (total of items 280 to 283)",2023-05-01,0
"31206","Clients' liabilities per contra (total of items 280 to 283)",2023-06-01,0
"31207","Clients' liabilities per contra (total of items 280 to 283)",2023-07-01,0
"31208","Clients' liabilities per contra (total of items 280 to 283)",2023-08-01,0
"31209","Remittances in transit",2008-01-01,1354668
"31210","Remittances in transit",2008-02-01,2373574
"31211","Remittances in transit",2008-03-01,1708003
"31212","Remittances in transit",2008-04-01,2474204
"31213","Remittances in transit",2008-05-01,2224437
"31214","Remittances in transit",2008-06-01,2052807
"31215","Remittances in transit",2008-07-01,1331959
"31216","Remittances in transit",2008-08-01,1764498
"31217","Remittances in transit",2008-09-01,2261897
"31218","Remittances in transit",2008-10-01,1676583
"31219","Remittances in transit",2008-11-01,1423639
"31220","Remittances in transit",2008-12-01,2003745
"31221","Remittances in transit",2009-01-01,1218837
"31222","Remittances in transit",2009-02-01,3885357
"31223","Remittances in transit",2009-03-01,4689768
"31224","Remittances in transit",2009-04-01,4774853
"31225","Remittances in transit",2009-05-01,4783430
"31226","Remittances in transit",2009-06-01,3412429
"31227","Remittances in transit",2009-07-01,2666833
"31228","Remittances in transit",2009-08-01,3408910
"31229","Remittances in transit",2009-09-01,2664299
"31230","Remittances in transit",2009-10-01,1373167
"31231","Remittances in transit",2009-11-01,1841185
"31232","Remittances in transit",2009-12-01,2023656
"31233","Remittances in transit",2010-01-01,2715055
"31234","Remittances in transit",2010-02-01,1523002
"31235","Remittances in transit",2010-03-01,2251275
"31236","Remittances in transit",2010-04-01,2095912
"31237","Remittances in transit",2010-05-01,2085772
"31238","Remittances in transit",2010-06-01,1995443
"31239","Remittances in transit",2010-07-01,1652891
"31240","Remittances in transit",2010-08-01,1445490
"31241","Remittances in transit",2010-09-01,2737372
"31242","Remittances in transit",2010-10-01,1739659
"31243","Remittances in transit",2010-11-01,1193381
"31244","Remittances in transit",2010-12-01,882503
"31245","Remittances in transit",2011-01-01,1860215
"31246","Remittances in transit",2011-02-01,2497764
"31247","Remittances in transit",2011-03-01,1461421
"31248","Remittances in transit",2011-04-01,1898619
"31249","Remittances in transit",2011-05-01,1039530
"31250","Remittances in transit",2011-06-01,1216192
"31251","Remittances in transit",2011-07-01,1185802
"31252","Remittances in transit",2011-08-01,1353567
"31253","Remittances in transit",2011-09-01,2731602
"31254","Remittances in transit",2011-10-01,2386270
"31255","Remittances in transit",2011-11-01,1586269
"31256","Remittances in transit",2011-12-01,1453599
"31257","Remittances in transit",2012-01-01,1494488
"31258","Remittances in transit",2012-02-01,3745968
"31259","Remittances in transit",2012-03-01,2665830
"31260","Remittances in transit",2012-04-01,4336316
"31261","Remittances in transit",2012-05-01,4377779
"31262","Remittances in transit",2012-06-01,4838008
"31263","Remittances in transit",2012-07-01,3841507
"31264","Remittances in transit",2012-08-01,4488385
"31265","Remittances in transit",2012-09-01,2279247
"31266","Remittances in transit",2012-10-01,4451843
"31267","Remittances in transit",2012-11-01,4731016
"31268","Remittances in transit",2012-12-01,5235690
"31269","Remittances in transit",2013-01-01,4582362
"31270","Remittances in transit",2013-02-01,5132374
"31271","Remittances in transit",2013-03-01,6175878
"31272","Remittances in transit",2013-04-01,5724864
"31273","Remittances in transit",2013-05-01,3950155
"31274","Remittances in transit",2013-06-01,5014675
"31275","Remittances in transit",2013-07-01,3376807
"31276","Remittances in transit",2013-08-01,5006028
"31277","Remittances in transit",2013-09-01,7111021
"31278","Remittances in transit",2013-10-01,6384973
"31279","Remittances in transit",2013-11-01,6151993
"31280","Remittances in transit",2013-12-01,5013875
"31281","Remittances in transit",2014-01-01,9642579
"31282","Remittances in transit",2014-02-01,5479014
"31283","Remittances in transit",2014-03-01,5101518
"31284","Remittances in transit",2014-04-01,9497007
"31285","Remittances in transit",2014-05-01,7442583
"31286","Remittances in transit",2014-06-01,6429894
"31287","Remittances in transit",2014-07-01,4132636
"31288","Remittances in transit",2014-08-01,5561625
"31289","Remittances in transit",2014-09-01,6641992
"31290","Remittances in transit",2014-10-01,6495912
"31291","Remittances in transit",2014-11-01,7808198
"31292","Remittances in transit",2014-12-01,8470364
"31293","Remittances in transit",2015-01-01,5427340
"31294","Remittances in transit",2015-02-01,10104704
"31295","Remittances in transit",2015-03-01,7681851
"31296","Remittances in transit",2015-04-01,5824795
"31297","Remittances in transit",2015-05-01,4892849
"31298","Remittances in transit",2015-06-01,6115256
"31299","Remittances in transit",2015-07-01,7103324
"31300","Remittances in transit",2015-08-01,5821897
"31301","Remittances in transit",2015-09-01,5999658
"31302","Remittances in transit",2015-10-01,6220655
"31303","Remittances in transit",2015-11-01,22526268
"31304","Remittances in transit",2015-12-01,9249626
"31305","Remittances in transit",2016-01-01,8044727
"31306","Remittances in transit",2016-02-01,7892777
"31307","Remittances in transit",2016-03-01,9087984
"31308","Remittances in transit",2016-04-01,10891424
"31309","Remittances in transit",2016-05-01,12651794
"31310","Remittances in transit",2016-06-01,10994697
"31311","Remittances in transit",2016-07-01,11148114
"31312","Remittances in transit",2016-08-01,9449565
"31313","Remittances in transit",2016-09-01,12704656
"31314","Remittances in transit",2016-10-01,15242528
"31315","Remittances in transit",2016-11-01,8326966
"31316","Remittances in transit",2016-12-01,9461464
"31317","Remittances in transit",2017-01-01,19590675
"31318","Remittances in transit",2017-02-01,8053155
"31319","Remittances in transit",2017-03-01,5017442
"31320","Remittances in transit",2017-04-01,11071718
"31321","Remittances in transit",2017-05-01,9816331
"31322","Remittances in transit",2017-06-01,12389245
"31323","Remittances in transit",2017-07-01,9372056
"31324","Remittances in transit",2017-08-01,9508160
"31325","Remittances in transit",2017-09-01,4379784
"31326","Remittances in transit",2017-10-01,7533012
"31327","Remittances in transit",2017-11-01,3974722
"31328","Remittances in transit",2017-12-01,5002303
"31329","Remittances in transit",2018-01-01,5882006
"31330","Remittances in transit",2018-02-01,1539225
"31331","Remittances in transit",2018-03-01,2683345
"31332","Remittances in transit",2018-04-01,7462651
"31333","Remittances in transit",2018-05-01,5726858
"31334","Remittances in transit",2018-06-01,7532882
"31335","Remittances in transit",2018-07-01,6400468
"31336","Remittances in transit",2018-08-01,5955379
"31337","Remittances in transit",2018-09-01,5416336
"31338","Remittances in transit",2018-10-01,5861827
"31339","Remittances in transit",2018-11-01,6402764
"31340","Remittances in transit",2018-12-01,4447107
"31341","Remittances in transit",2019-01-01,5219002
"31342","Remittances in transit",2019-02-01,6675595
"31343","Remittances in transit",2019-03-01,11555895
"31344","Remittances in transit",2019-04-01,12960700
"31345","Remittances in transit",2019-05-01,10907991
"31346","Remittances in transit",2019-06-01,11196405
"31347","Remittances in transit",2019-07-01,7439915
"31348","Remittances in transit",2019-08-01,6693344
"31349","Remittances in transit",2019-09-01,7095788
"31350","Remittances in transit",2019-10-01,6979321
"31351","Remittances in transit",2019-11-01,8798631
"31352","Remittances in transit",2019-12-01,4407910
"31353","Remittances in transit",2020-01-01,7186469
"31354","Remittances in transit",2020-02-01,3538172
"31355","Remittances in transit",2020-03-01,7447076
"31356","Remittances in transit",2020-04-01,5128945
"31357","Remittances in transit",2020-05-01,4838573
"31358","Remittances in transit",2020-06-01,4440691
"31359","Remittances in transit",2020-07-01,3528235
"31360","Remittances in transit",2020-08-01,9146962
"31361","Remittances in transit",2020-09-01,8499153
"31362","Remittances in transit",2020-10-01,908402
"31363","Remittances in transit",2020-11-01,900687
"31364","Remittances in transit",2020-12-01,1283244
"31365","Remittances in transit",2021-01-01,1002018
"31366","Remittances in transit",2021-02-01,1688017
"31367","Remittances in transit",2021-03-01,5057717
"31368","Remittances in transit",2021-04-01,4179993
"31369","Remittances in transit",2021-05-01,4620064
"31370","Remittances in transit",2021-06-01,5420881
"31371","Remittances in transit",2021-07-01,4813302
"31372","Remittances in transit",2021-08-01,4043593
"31373","Remittances in transit",2021-09-01,5974309
"31374","Remittances in transit",2021-10-01,6065625
"31375","Remittances in transit",2021-11-01,4511078
"31376","Remittances in transit",2021-12-01,6921793
"31377","Remittances in transit",2022-01-01,12992142
"31378","Remittances in transit",2022-02-01,7268736
"31379","Remittances in transit",2022-03-01,5504551
"31380","Remittances in transit",2022-04-01,7074469
"31381","Remittances in transit",2022-05-01,6415282
"31382","Remittances in transit",2022-06-01,8302116
"31383","Remittances in transit",2022-07-01,5984138
"31384","Remittances in transit",2022-08-01,6587824
"31385","Remittances in transit",2022-09-01,7942168
"31386","Remittances in transit",2022-10-01,1116113
"31387","Remittances in transit",2022-11-01,8978754
"31388","Remittances in transit",2022-12-01,7854869
"31389","Remittances in transit",2023-01-01,6239365
"31390","Remittances in transit",2023-02-01,12203186
"31391","Remittances in transit",2023-03-01,5353875
"31392","Remittances in transit",2023-04-01,12424118
"31393","Remittances in transit",2023-05-01,9094689
"31394","Remittances in transit",2023-06-01,7967053
"31395","Remittances in transit",2023-07-01,5770644
"31396","Remittances in transit",2023-08-01,9542697
"31397","Current income tax receivables and deferred income tax assets",2008-01-01,3023520
"31398","Current income tax receivables and deferred income tax assets",2008-02-01,1519584
"31399","Current income tax receivables and deferred income tax assets",2008-03-01,1658996
"31400","Current income tax receivables and deferred income tax assets",2008-04-01,1422053
"31401","Current income tax receivables and deferred income tax assets",2008-05-01,1362888
"31402","Current income tax receivables and deferred income tax assets",2008-06-01,2214028
"31403","Current income tax receivables and deferred income tax assets",2008-07-01,2133157
"31404","Current income tax receivables and deferred income tax assets",2008-08-01,1718771
"31405","Current income tax receivables and deferred income tax assets",2008-09-01,2059741
"31406","Current income tax receivables and deferred income tax assets",2008-10-01,2013054
"31407","Current income tax receivables and deferred income tax assets",2008-11-01,1870862
"31408","Current income tax receivables and deferred income tax assets",2008-12-01,2287786
"31409","Current income tax receivables and deferred income tax assets",2009-01-01,2250983
"31410","Current income tax receivables and deferred income tax assets",2009-02-01,2321477
"31411","Current income tax receivables and deferred income tax assets",2009-03-01,1772822
"31412","Current income tax receivables and deferred income tax assets",2009-04-01,1917338
"31413","Current income tax receivables and deferred income tax assets",2009-05-01,1981139
"31414","Current income tax receivables and deferred income tax assets",2009-06-01,2739677
"31415","Current income tax receivables and deferred income tax assets",2009-07-01,2790949
"31416","Current income tax receivables and deferred income tax assets",2009-08-01,2830241
"31417","Current income tax receivables and deferred income tax assets",2009-09-01,2537890
"31418","Current income tax receivables and deferred income tax assets",2009-10-01,2494043
"31419","Current income tax receivables and deferred income tax assets",2009-11-01,2247135
"31420","Current income tax receivables and deferred income tax assets",2009-12-01,2681034
"31421","Current income tax receivables and deferred income tax assets",2010-01-01,2789037
"31422","Current income tax receivables and deferred income tax assets",2010-02-01,2461675
"31423","Current income tax receivables and deferred income tax assets",2010-03-01,2225499
"31424","Current income tax receivables and deferred income tax assets",2010-04-01,1933244
"31425","Current income tax receivables and deferred income tax assets",2010-05-01,1683847
"31426","Current income tax receivables and deferred income tax assets",2010-06-01,2384399
"31427","Current income tax receivables and deferred income tax assets",2010-07-01,2468229
"31428","Current income tax receivables and deferred income tax assets",2010-08-01,2106106
"31429","Current income tax receivables and deferred income tax assets",2010-09-01,1679173
"31430","Current income tax receivables and deferred income tax assets",2010-10-01,1527441
"31431","Current income tax receivables and deferred income tax assets",2010-11-01,1482760
"31432","Current income tax receivables and deferred income tax assets",2010-12-01,2435343
"31433","Current income tax receivables and deferred income tax assets",2011-01-01,2210675
"31434","Current income tax receivables and deferred income tax assets",2011-02-01,1937512
"31435","Current income tax receivables and deferred income tax assets",2011-03-01,1317933
"31436","Current income tax receivables and deferred income tax assets",2011-04-01,1349440
"31437","Current income tax receivables and deferred income tax assets",2011-05-01,1409830
"31438","Current income tax receivables and deferred income tax assets",2011-06-01,2143515
"31439","Current income tax receivables and deferred income tax assets",2011-07-01,1956949
"31440","Current income tax receivables and deferred income tax assets",2011-08-01,2080242
"31441","Current income tax receivables and deferred income tax assets",2011-09-01,1251914
"31442","Current income tax receivables and deferred income tax assets",2011-10-01,1243424
"31443","Current income tax receivables and deferred income tax assets",2011-11-01,1377429
"31444","Current income tax receivables and deferred income tax assets",2011-12-01,2003605
"31445","Current income tax receivables and deferred income tax assets",2012-01-01,1762378
"31446","Current income tax receivables and deferred income tax assets",2012-02-01,1496986
"31447","Current income tax receivables and deferred income tax assets",2012-03-01,1347961
"31448","Current income tax receivables and deferred income tax assets",2012-04-01,1024683
"31449","Current income tax receivables and deferred income tax assets",2012-05-01,1135358
"31450","Current income tax receivables and deferred income tax assets",2012-06-01,2563805
"31451","Current income tax receivables and deferred income tax assets",2012-07-01,1280651
"31452","Current income tax receivables and deferred income tax assets",2012-08-01,1225847
"31453","Current income tax receivables and deferred income tax assets",2012-09-01,1203005
"31454","Current income tax receivables and deferred income tax assets",2012-10-01,1156926
"31455","Current income tax receivables and deferred income tax assets",2012-11-01,1202414
"31456","Current income tax receivables and deferred income tax assets",2012-12-01,1966837
"31457","Current income tax receivables and deferred income tax assets",2013-01-01,1668696
"31458","Current income tax receivables and deferred income tax assets",2013-02-01,1466754
"31459","Current income tax receivables and deferred income tax assets",2013-03-01,1282749
"31460","Current income tax receivables and deferred income tax assets",2013-04-01,1130581
"31461","Current income tax receivables and deferred income tax assets",2013-05-01,1412498
"31462","Current income tax receivables and deferred income tax assets",2013-06-01,1841136
"31463","Current income tax receivables and deferred income tax assets",2013-07-01,1585131
"31464","Current income tax receivables and deferred income tax assets",2013-08-01,2088443
"31465","Current income tax receivables and deferred income tax assets",2013-09-01,2173097
"31466","Current income tax receivables and deferred income tax assets",2013-10-01,2335618
"31467","Current income tax receivables and deferred income tax assets",2013-11-01,2468130
"31468","Current income tax receivables and deferred income tax assets",2013-12-01,2676228
"31469","Current income tax receivables and deferred income tax assets",2014-01-01,2092200
"31470","Current income tax receivables and deferred income tax assets",2014-02-01,2061464
"31471","Current income tax receivables and deferred income tax assets",2014-03-01,2993359
"31472","Current income tax receivables and deferred income tax assets",2014-04-01,3087590
"31473","Current income tax receivables and deferred income tax assets",2014-05-01,3132785
"31474","Current income tax receivables and deferred income tax assets",2014-06-01,3702742
"31475","Current income tax receivables and deferred income tax assets",2014-07-01,4521611
"31476","Current income tax receivables and deferred income tax assets",2014-08-01,4813241
"31477","Current income tax receivables and deferred income tax assets",2014-09-01,4889714
"31478","Current income tax receivables and deferred income tax assets",2014-10-01,4763569
"31479","Current income tax receivables and deferred income tax assets",2014-11-01,4837382
"31480","Current income tax receivables and deferred income tax assets",2014-12-01,5650635
"31481","Current income tax receivables and deferred income tax assets",2015-01-01,4894341
"31482","Current income tax receivables and deferred income tax assets",2015-02-01,4782134
"31483","Current income tax receivables and deferred income tax assets",2015-03-01,4663700
"31484","Current income tax receivables and deferred income tax assets",2015-04-01,4610053
"31485","Current income tax receivables and deferred income tax assets",2015-05-01,4852643
"31486","Current income tax receivables and deferred income tax assets",2015-06-01,6613237
"31487","Current income tax receivables and deferred income tax assets",2015-07-01,5683429
"31488","Current income tax receivables and deferred income tax assets",2015-08-01,5845968
"31489","Current income tax receivables and deferred income tax assets",2015-09-01,5977431
"31490","Current income tax receivables and deferred income tax assets",2015-10-01,6107740
"31491","Current income tax receivables and deferred income tax assets",2015-11-01,6168599
"31492","Current income tax receivables and deferred income tax assets",2015-12-01,7615966
"31493","Current income tax receivables and deferred income tax assets",2016-01-01,6464483
"31494","Current income tax receivables and deferred income tax assets",2016-02-01,5715342
"31495","Current income tax receivables and deferred income tax assets",2016-03-01,5372997
"31496","Current income tax receivables and deferred income tax assets",2016-04-01,2651481
"31497","Current income tax receivables and deferred income tax assets",2016-05-01,2520494
"31498","Current income tax receivables and deferred income tax assets",2016-06-01,5249473
"31499","Current income tax receivables and deferred income tax assets",2016-07-01,4432247
"31500","Current income tax receivables and deferred income tax assets",2016-08-01,4069285
"31501","Current income tax receivables and deferred income tax assets",2016-09-01,3421820
"31502","Current income tax receivables and deferred income tax assets",2016-10-01,3003012
"31503","Current income tax receivables and deferred income tax assets",2016-11-01,3741224
"31504","Current income tax receivables and deferred income tax assets",2016-12-01,4531367
"31505","Current income tax receivables and deferred income tax assets",2017-01-01,3479537
"31506","Current income tax receivables and deferred income tax assets",2017-02-01,3365195
"31507","Current income tax receivables and deferred income tax assets",2017-03-01,4311949
"31508","Current income tax receivables and deferred income tax assets",2017-04-01,3780964
"31509","Current income tax receivables and deferred income tax assets",2017-05-01,3932502
"31510","Current income tax receivables and deferred income tax assets",2017-06-01,4735925
"31511","Current income tax receivables and deferred income tax assets",2017-07-01,4328351
"31512","Current income tax receivables and deferred income tax assets",2017-08-01,4207674
"31513","Current income tax receivables and deferred income tax assets",2017-09-01,4081717
"31514","Current income tax receivables and deferred income tax assets",2017-10-01,4082958
"31515","Current income tax receivables and deferred income tax assets",2017-11-01,4764395
"31516","Current income tax receivables and deferred income tax assets",2017-12-01,4118262
"31517","Current income tax receivables and deferred income tax assets",2018-01-01,6496012
"31518","Current income tax receivables and deferred income tax assets",2018-02-01,6552620
"31519","Current income tax receivables and deferred income tax assets",2018-03-01,7933503
"31520","Current income tax receivables and deferred income tax assets",2018-04-01,7863463
"31521","Current income tax receivables and deferred income tax assets",2018-05-01,8392142
"31522","Current income tax receivables and deferred income tax assets",2018-06-01,10675092
"31523","Current income tax receivables and deferred income tax assets",2018-07-01,10826171
"31524","Current income tax receivables and deferred income tax assets",2018-08-01,10420522
"31525","Current income tax receivables and deferred income tax assets",2018-09-01,10681908
"31526","Current income tax receivables and deferred income tax assets",2018-10-01,11312389
"31527","Current income tax receivables and deferred income tax assets",2018-11-01,11102113
"31528","Current income tax receivables and deferred income tax assets",2018-12-01,11734058
"31529","Current income tax receivables and deferred income tax assets",2019-01-01,11987668
"31530","Current income tax receivables and deferred income tax assets",2019-02-01,11330966
"31531","Current income tax receivables and deferred income tax assets",2019-03-01,11656333
"31532","Current income tax receivables and deferred income tax assets",2019-04-01,11568014
"31533","Current income tax receivables and deferred income tax assets",2019-05-01,11387503
"31534","Current income tax receivables and deferred income tax assets",2019-06-01,12981555
"31535","Current income tax receivables and deferred income tax assets",2019-07-01,12922335
"31536","Current income tax receivables and deferred income tax assets",2019-08-01,12834713
"31537","Current income tax receivables and deferred income tax assets",2019-09-01,12977841
"31538","Current income tax receivables and deferred income tax assets",2019-10-01,12829050
"31539","Current income tax receivables and deferred income tax assets",2019-11-01,12708504
"31540","Current income tax receivables and deferred income tax assets",2019-12-01,14442017
"31541","Current income tax receivables and deferred income tax assets",2020-01-01,13447915
"31542","Current income tax receivables and deferred income tax assets",2020-02-01,13564108
"31543","Current income tax receivables and deferred income tax assets",2020-03-01,13219790
"31544","Current income tax receivables and deferred income tax assets",2020-04-01,13981735
"31545","Current income tax receivables and deferred income tax assets",2020-05-01,13729444
"31546","Current income tax receivables and deferred income tax assets",2020-06-01,15389749
"31547","Current income tax receivables and deferred income tax assets",2020-07-01,14493866
"31548","Current income tax receivables and deferred income tax assets",2020-08-01,13840615
"31549","Current income tax receivables and deferred income tax assets",2020-09-01,14360743
"31550","Current income tax receivables and deferred income tax assets",2020-10-01,14068171
"31551","Current income tax receivables and deferred income tax assets",2020-11-01,14451295
"31552","Current income tax receivables and deferred income tax assets",2020-12-01,17538347
"31553","Current income tax receivables and deferred income tax assets",2021-01-01,17553548
"31554","Current income tax receivables and deferred income tax assets",2021-02-01,17739952
"31555","Current income tax receivables and deferred income tax assets",2021-03-01,17879137
"31556","Current income tax receivables and deferred income tax assets",2021-04-01,18313240
"31557","Current income tax receivables and deferred income tax assets",2021-05-01,18713528
"31558","Current income tax receivables and deferred income tax assets",2021-06-01,18901443
"31559","Current income tax receivables and deferred income tax assets",2021-07-01,18963781
"31560","Current income tax receivables and deferred income tax assets",2021-08-01,18871172
"31561","Current income tax receivables and deferred income tax assets",2021-09-01,20290336
"31562","Current income tax receivables and deferred income tax assets",2021-10-01,20972995
"31563","Current income tax receivables and deferred income tax assets",2021-11-01,20267023
"31564","Current income tax receivables and deferred income tax assets",2021-12-01,20578246
"31565","Current income tax receivables and deferred income tax assets",2022-01-01,20701529
"31566","Current income tax receivables and deferred income tax assets",2022-02-01,20942392
"31567","Current income tax receivables and deferred income tax assets",2022-03-01,20793146
"31568","Current income tax receivables and deferred income tax assets",2022-04-01,21763016
"31569","Current income tax receivables and deferred income tax assets",2022-05-01,22102992
"31570","Current income tax receivables and deferred income tax assets",2022-06-01,24067975
"31571","Current income tax receivables and deferred income tax assets",2022-07-01,23594251
"31572","Current income tax receivables and deferred income tax assets",2022-08-01,24511674
"31573","Current income tax receivables and deferred income tax assets",2022-09-01,25876059
"31574","Current income tax receivables and deferred income tax assets",2022-10-01,25487660
"31575","Current income tax receivables and deferred income tax assets",2022-11-01,23659404
"31576","Current income tax receivables and deferred income tax assets",2022-12-01,25069117
"31577","Current income tax receivables and deferred income tax assets",2023-01-01,23555319
"31578","Current income tax receivables and deferred income tax assets",2023-02-01,24401741
"31579","Current income tax receivables and deferred income tax assets",2023-03-01,24654651
"31580","Current income tax receivables and deferred income tax assets",2023-04-01,24443100
"31581","Current income tax receivables and deferred income tax assets",2023-05-01,26878157
"31582","Current income tax receivables and deferred income tax assets",2023-06-01,27117095
"31583","Current income tax receivables and deferred income tax assets",2023-07-01,26426769
"31584","Current income tax receivables and deferred income tax assets",2023-08-01,26165196
"31585","Retirement benefit assets",2008-01-01,4036655
"31586","Retirement benefit assets",2008-02-01,4047712
"31587","Retirement benefit assets",2008-03-01,4222767
"31588","Retirement benefit assets",2008-04-01,4226319
"31589","Retirement benefit assets",2008-05-01,4237518
"31590","Retirement benefit assets",2008-06-01,4301213
"31591","Retirement benefit assets",2008-07-01,4335779
"31592","Retirement benefit assets",2008-08-01,4343291
"31593","Retirement benefit assets",2008-09-01,4356687
"31594","Retirement benefit assets",2008-10-01,4367419
"31595","Retirement benefit assets",2008-11-01,4378143
"31596","Retirement benefit assets",2008-12-01,4497368
"31597","Retirement benefit assets",2009-01-01,4447226
"31598","Retirement benefit assets",2009-02-01,4372135
"31599","Retirement benefit assets",2009-03-01,4295802
"31600","Retirement benefit assets",2009-04-01,4195576
"31601","Retirement benefit assets",2009-05-01,4319424
"31602","Retirement benefit assets",2009-06-01,4156517
"31603","Retirement benefit assets",2009-07-01,4194013
"31604","Retirement benefit assets",2009-08-01,4238040
"31605","Retirement benefit assets",2009-09-01,4278551
"31606","Retirement benefit assets",2009-10-01,4379291
"31607","Retirement benefit assets",2009-11-01,4380905
"31608","Retirement benefit assets",2009-12-01,4395952
"31609","Retirement benefit assets",2010-01-01,4315002
"31610","Retirement benefit assets",2010-02-01,4323466
"31611","Retirement benefit assets",2010-03-01,4420486
"31612","Retirement benefit assets",2010-04-01,4437585
"31613","Retirement benefit assets",2010-05-01,5028515
"31614","Retirement benefit assets",2010-06-01,4951644
"31615","Retirement benefit assets",2010-07-01,5075694
"31616","Retirement benefit assets",2010-08-01,5088930
"31617","Retirement benefit assets",2010-09-01,5235538
"31618","Retirement benefit assets",2010-10-01,5279632
"31619","Retirement benefit assets",2010-11-01,5285745
"31620","Retirement benefit assets",2010-12-01,5488206
"31621","Retirement benefit assets",2011-01-01,5386957
"31622","Retirement benefit assets",2011-02-01,5497081
"31623","Retirement benefit assets",2011-03-01,5502878
"31624","Retirement benefit assets",2011-04-01,5539592
"31625","Retirement benefit assets",2011-05-01,5549720
"31626","Retirement benefit assets",2011-06-01,5541788
"31627","Retirement benefit assets",2011-07-01,5521314
"31628","Retirement benefit assets",2011-08-01,5563045
"31629","Retirement benefit assets",2011-09-01,5524318
"31630","Retirement benefit assets",2011-10-01,5603591
"31631","Retirement benefit assets",2011-11-01,5642163
"31632","Retirement benefit assets",2011-12-01,5562821
"31633","Retirement benefit assets",2012-01-01,5652452
"31634","Retirement benefit assets",2012-02-01,5624984
"31635","Retirement benefit assets",2012-03-01,5648484
"31636","Retirement benefit assets",2012-04-01,5689646
"31637","Retirement benefit assets",2012-05-01,5654017
"31638","Retirement benefit assets",2012-06-01,5780073
"31639","Retirement benefit assets",2012-07-01,5863566
"31640","Retirement benefit assets",2012-08-01,5894339
"31641","Retirement benefit assets",2012-09-01,5709065
"31642","Retirement benefit assets",2012-10-01,5712034
"31643","Retirement benefit assets",2012-11-01,5700690
"31644","Retirement benefit assets",2012-12-01,5752140
"31645","Retirement benefit assets",2013-01-01,5797215
"31646","Retirement benefit assets",2013-02-01,5736051
"31647","Retirement benefit assets",2013-03-01,5763232
"31648","Retirement benefit assets",2013-04-01,5768177
"31649","Retirement benefit assets",2013-05-01,5735984
"31650","Retirement benefit assets",2013-06-01,5490132
"31651","Retirement benefit assets",2013-07-01,5571076
"31652","Retirement benefit assets",2013-08-01,5556087
"31653","Retirement benefit assets",2013-09-01,5678712
"31654","Retirement benefit assets",2013-10-01,2532612
"31655","Retirement benefit assets",2013-11-01,2534212
"31656","Retirement benefit assets",2013-12-01,3331094
"31657","Retirement benefit assets",2014-01-01,3324746
"31658","Retirement benefit assets",2014-02-01,3327944
"31659","Retirement benefit assets",2014-03-01,3379247
"31660","Retirement benefit assets",2014-04-01,3376443
"31661","Retirement benefit assets",2014-05-01,3398018
"31662","Retirement benefit assets",2014-06-01,4580671
"31663","Retirement benefit assets",2014-07-01,4562742
"31664","Retirement benefit assets",2014-08-01,4566121
