"","Series","Date","Value"
"169","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-01-01,173679007
"170","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-02-01,183329919
"171","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-03-01,199816785
"172","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-04-01,197162627
"173","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-05-01,194564680
"174","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-06-01,197577318
"175","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-07-01,195955433
"176","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-08-01,228102037
"177","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-09-01,230502290
"178","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-10-01,228073107
"179","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-11-01,236717379
"180","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-12-01,235352915
"181","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2023-01-01,240530877
"182","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2023-02-01,244029731
"183","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2023-03-01,263331800
"184","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2023-04-01,269275623
"185","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2023-05-01,283254885
"186","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2023-06-01,273796695
"187","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2023-07-01,271371268
"188","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2023-08-01,268775539
"189","South African bank notes and subsidiary coin",2008-01-01,10951570
"190","South African bank notes and subsidiary coin",2008-02-01,10248602
"191","South African bank notes and subsidiary coin",2008-03-01,10657339
"192","South African bank notes and subsidiary coin",2008-04-01,13590250
"193","South African bank notes and subsidiary coin",2008-05-01,9275135
"194","South African bank notes and subsidiary coin",2008-06-01,10208061
"195","South African bank notes and subsidiary coin",2008-07-01,11549692
"196","South African bank notes and subsidiary coin",2008-08-01,9558847
"197","South African bank notes and subsidiary coin",2008-09-01,11615716
"198","South African bank notes and subsidiary coin",2008-10-01,11769893
"199","South African bank notes and subsidiary coin",2008-11-01,10387311
"200","South African bank notes and subsidiary coin",2008-12-01,15334643
"201","South African bank notes and subsidiary coin",2009-01-01,10452990
"202","South African bank notes and subsidiary coin",2009-02-01,9306242
"203","South African bank notes and subsidiary coin",2009-03-01,11951251
"204","South African bank notes and subsidiary coin",2009-04-01,13816201
"205","South African bank notes and subsidiary coin",2009-05-01,9995722
"206","South African bank notes and subsidiary coin",2009-06-01,11441756
"207","South African bank notes and subsidiary coin",2009-07-01,12069090
"208","South African bank notes and subsidiary coin",2009-08-01,11417040
"209","South African bank notes and subsidiary coin",2009-09-01,12061836
"210","South African bank notes and subsidiary coin",2009-10-01,10290481
"211","South African bank notes and subsidiary coin",2009-11-01,12654837
"212","South African bank notes and subsidiary coin",2009-12-01,15895067
"213","South African bank notes and subsidiary coin",2010-01-01,10416123
"214","South African bank notes and subsidiary coin",2010-02-01,9486022
"215","South African bank notes and subsidiary coin",2010-03-01,14863211
"216","South African bank notes and subsidiary coin",2010-04-01,13909275
"217","South African bank notes and subsidiary coin",2010-05-01,14132421
"218","South African bank notes and subsidiary coin",2010-06-01,13885824
"219","South African bank notes and subsidiary coin",2010-07-01,11386646
"220","South African bank notes and subsidiary coin",2010-08-01,14286696
"221","South African bank notes and subsidiary coin",2010-09-01,14709462
"222","South African bank notes and subsidiary coin",2010-10-01,11859109
"223","South African bank notes and subsidiary coin",2010-11-01,15586750
"224","South African bank notes and subsidiary coin",2010-12-01,17421972
"225","South African bank notes and subsidiary coin",2011-01-01,13917340
"226","South African bank notes and subsidiary coin",2011-02-01,12614493
"227","South African bank notes and subsidiary coin",2011-03-01,15051972
"228","South African bank notes and subsidiary coin",2011-04-01,16607548
"229","South African bank notes and subsidiary coin",2011-05-01,15246288
"230","South African bank notes and subsidiary coin",2011-06-01,16547778
"231","South African bank notes and subsidiary coin",2011-07-01,14627721
"232","South African bank notes and subsidiary coin",2011-08-01,16366897
"233","South African bank notes and subsidiary coin",2011-09-01,16107117
"234","South African bank notes and subsidiary coin",2011-10-01,16494354
"235","South African bank notes and subsidiary coin",2011-11-01,19107142
"236","South African bank notes and subsidiary coin",2011-12-01,25998282
"237","South African bank notes and subsidiary coin",2012-01-01,18571141
"238","South African bank notes and subsidiary coin",2012-02-01,18926674
"239","South African bank notes and subsidiary coin",2012-03-01,17265292
"240","South African bank notes and subsidiary coin",2012-04-01,19676857
"241","South African bank notes and subsidiary coin",2012-05-01,18681337
"242","South African bank notes and subsidiary coin",2012-06-01,16536821
"243","South African bank notes and subsidiary coin",2012-07-01,18406930
"244","South African bank notes and subsidiary coin",2012-08-01,18887907
"245","South African bank notes and subsidiary coin",2012-09-01,18537023
"246","South African bank notes and subsidiary coin",2012-10-01,21971957
"247","South African bank notes and subsidiary coin",2012-11-01,23325808
"248","South African bank notes and subsidiary coin",2012-12-01,31127013
"249","South African bank notes and subsidiary coin",2013-01-01,23223987
"250","South African bank notes and subsidiary coin",2013-02-01,19865694
"251","South African bank notes and subsidiary coin",2013-03-01,20949578
"252","South African bank notes and subsidiary coin",2013-04-01,23010693
"253","South African bank notes and subsidiary coin",2013-05-01,20910548
"254","South African bank notes and subsidiary coin",2013-06-01,19878202
"255","South African bank notes and subsidiary coin",2013-07-01,23756791
"256","South African bank notes and subsidiary coin",2013-08-01,22106287
"257","South African bank notes and subsidiary coin",2013-09-01,23071203
"258","South African bank notes and subsidiary coin",2013-10-01,25063440
"259","South African bank notes and subsidiary coin",2013-11-01,22079094
"260","South African bank notes and subsidiary coin",2013-12-01,32042826
"261","South African bank notes and subsidiary coin",2014-01-01,23003815
"262","South African bank notes and subsidiary coin",2014-02-01,22780858
"263","South African bank notes and subsidiary coin",2014-03-01,23098871
"264","South African bank notes and subsidiary coin",2014-04-01,26975540
